,Data,S&P 500 price,S&P MIDCAP price,S&P 1000 price,S&P SMALLCAP price,S&P 500 CONSUMER DISCRETIONARY price,S&P 500 REAL ESTATE price,S&P 500 CONSUMER STAPLES price,S&P 500 ENERGY price,S&P 500 FINANCIALS price,S&P 500 HEALTH CARE price,S&P 500 MATERIALS price,S&P 500 INFO TECH price,S&P 500 UTILITIES price,S&P 500 INDUSTRIAL price,S&P 500 VIX price,S&P GS EXCESS INDEX price,S&P GSCI price,S&P 500 GROWTH INDEX price,S&P 500 VALUE INDEX price,GLBL PRZEMYSŁ price,GLBL ENERGIA price,GLBL FINANSE price,GLBL OPIEKA ZDROWOTNA price_x,GLBL TECHNOLOGIA price,GLBL TELEKOMUNIKACJA price,GLBL UŻYTECZNOŚCI PUBLICZNEJ price,GLBL DOBRA PODSTAWOWE price,GLBL SUROWCE price,GLBL DOBRA LUKSUSOWE price,US SUROWCE price,US TELEKOMUNIKACJA price,US ENERGIA price,US FINANSE price,US PRZEMYSŁ price,US TECHNOLOGIA price,US DOBRA PODSTAWOWE price,US UŻYTECZNOŚCI PUBLICZNEJ price,US OPIEKA ZDROWOTNA price,US DOBRA LUKSUSOWE price,US MŚP DOBRA PODSTAWOWE price,US MŚP DOBRA LUKSUSOWE price,US MŚP ENERGIA price,US MŚP FINANSE price,US MŚP OPIEKA ZDROWOTNA price,US MŚP PRZEMYSŁ price,US MŚP SUROWCE price,US MŚP TECHNOLOGIA price,US MŚP UŻYTECZNOŚCI PUBLICZNEJ price,GLBL OPIEKA ZDROWOTNA price_y,Date_index
31,1980-02-14,116.72,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,722774.0
32,1980-02-15,115.41,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,722775.0
33,1980-02-19,114.6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,722779.0
34,1980-02-20,116.47,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,722780.0
35,1980-02-21,115.28,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,722781.0
36,1980-02-22,115.04,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,722782.0
37,1980-02-25,113.33,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,722785.0
38,1980-02-26,113.98,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,722786.0
39,1980-02-27,112.38,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,722787.0
40,1980-02-28,112.35,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,722788.0
