Data,Otwarcie,Najwyzszy,Najnizszy,Zamkniecie,Wolumen
1998-05-14,126.774,126.774,120.424,121.973,4147601.3609315
1998-05-15,120.424,123.692,114.939,121.315,183168939.6345
1998-05-18,118.59,122.249,115.294,116.025,11735699.31488
1998-05-19,116.39,118.59,115.294,116.39,5679342.0254889
1998-05-20,116.755,119.863,116.39,118.527,5658424.8691413
1998-05-21,119.863,121.52,117.86,119.4,1149475.6177636
1998-05-22,118.59,120.753,117.129,117.129,4721668.2082566
1998-05-26,113.487,114.939,111.34,113.683,3218917.574744
1998-05-27,108.598,112.062,104.021,109.88,16547002.372378
1998-05-28,109.88,111.679,107.315,111.679,4248747.5522962
1998-05-29,112.062,114.03,110.967,112.062,1361366.9618103
1998-06-01,109.15,109.15,105.49,108.305,7506783.0280103
1998-06-02,106.942,107.315,105.49,106.033,1197965.6445125
1998-06-03,106.942,107.681,104.751,105.49,2236839.8469652
1998-06-04,106.22,107.681,101.848,104.395,6299349.8071213
1998-06-05,103.317,104.021,101.848,103.665,1851426.0533846
1998-06-08,104.021,106.586,102.578,105.678,3869353.8840808
1998-06-09,104.751,105.49,101.127,103.665,6101084.3166808
1998-06-10,99.6662,101.848,97.6804,99.3011,14358168.561482
1998-06-11,98.5798,100.574,93.1477,93.1477,6545265.3590478
1998-06-12,92.7647,96.0418,91.8742,92.7647,8075771.9035201
1998-06-15,91.705,96.0418,89.1314,90.5919,7419590.5911299
1998-06-16,91.8742,93.1477,89.5055,91.9721,5986244.8948173
1998-06-17,95.4897,100.77,95.3205,99.8532,18075951.387681
1998-06-18,100.396,103.317,97.4844,98.2147,9072405.2860247
1998-06-19,98.9449,98.9449,93.8689,95.5253,8577875.7376179
1998-06-22,93.8689,93.8689,90.5919,90.957,5616873.5393954
1998-06-23,89.5055,92.0702,89.5055,92.0702,2604480.7391922
1998-06-24,92.0702,95.3205,90.957,94.5725,1238805.0250919
1998-06-25,94.5725,95.6767,88.7663,90.7878,4693787.6500454
1998-06-26,88.0326,90.2357,86.9471,89.5055,3762379.5914952
1998-06-29,87.6719,89.5055,85.117,87.3184,5650656.3134097
1998-06-30,89.5055,90.957,87.3184,88.3968,4750040.6177848
1998-07-01,87.1278,102.578,87.1278,101.767,16947105.451522
1998-07-02,97.1193,99.6662,93.1477,96.0418,10499277.185894
1998-07-03,93.1477,94.5725,92.4085,93.1477,12258280.109626
1998-07-06,94.5725,102.944,94.5725,99.123,11128859.223983
1998-07-07,98.5798,103.317,95.3205,100.94,20103143.541127
1998-07-08,95.3561,101.848,95.3561,101.848,14447785.443553
1998-07-09,101.848,101.848,100.032,101.661,8699568.5124201
1998-07-10,101.848,101.848,98.2147,100.094,17991832.460057
1998-07-13,97.4844,99.6662,97.4844,98.0187,4817952.0338626
1998-07-14,97.4844,98.9449,93.8689,98.4997,8525906.8173079
1998-07-15,99.6662,100.21,96.7632,99.6662,3024212.9530842
1998-07-16,99.6662,102.944,97.8585,102.222,9571641.1103887
1998-07-17,101.848,102.944,101.127,102.035,5424173.3802944
1998-07-20,101.848,102.222,100.77,101.305,4580047.5944816
1998-07-21,101.127,101.492,100.032,100.77,8274571.9173095
1998-07-22,100.396,101.848,99.3011,100.396,3023359.5124431
1998-07-23,100.396,102.035,100.032,101.848,4682446.996051
1998-07-24,101.127,101.848,99.6662,99.6662,18026607.920291
1998-07-27,100.574,100.574,94.2341,96.585,9584212.5156237
1998-07-28,95.6767,95.6767,92.0702,93.486,7009023.8805454
1998-07-29,91.1351,96.0418,90.957,93.486,2771423.8351511
1998-07-30,93.8689,96.7632,93.8689,94.5102,3359718.4363242
1998-07-31,98.2147,103.121,94.5725,100.574,7996821.9065168
1998-08-03,103.317,103.317,97.4844,98.8647,2761567.7186932
1998-08-04,99.3011,99.6662,97.4844,98.3215,11622291.651986
1998-08-05,96.7632,97.3242,95.3205,95.8815,4435658.9133636
1998-08-06,96.7632,97.8585,94.7595,96.9501,6161518.020614
1998-08-07,97.4844,101.848,95.6767,97.7338,3200156.4789636
1998-08-10,100.396,100.396,96.0418,99.2566,1870243.2965756
1998-08-11,95.6767,96.0418,93.486,93.486,4778946.4277137
1998-08-12,94.5725,94.5725,90.957,93.8689,6676983.8154882
1998-08-13,88.7663,90.2357,88.7663,89.8528,13597465.475403
1998-08-14,91.1351,91.1351,89.5055,90.2357,60204834.735108
1998-08-17,90.2357,90.957,87.3184,88.4351,6635637.9852651
1998-08-18,89.8528,90.957,88.0326,89.8528,13533783.082291
1998-08-19,89.5055,92.0702,89.1314,90.2357,9453765.2365594
1998-08-20,92.0702,94.5725,90.2357,94.2341,10841668.587571
1998-08-21,91.705,93.486,89.5055,90.0487,6625867.2128712
1998-08-24,91.1351,91.1351,86.4029,88.0326,22948967.187126
1998-08-25,88.7663,90.957,88.2133,89.8528,13462092.94548
1998-08-26,88.5891,89.1314,85.8499,86.7582,29614276.833001
1998-08-27,85.4865,85.4865,80.3901,81.6752,14361878.782375
1998-08-28,76.3944,77.1247,72.7576,73.8476,29356565.833054
1998-09-01,72.0273,74.9349,69.1154,72.7576,7494631.6054066
1998-09-02,76.3944,82.9406,72.7576,78.1229,22245928.614688
1998-09-03,81.4792,83.1214,80.3901,82.9406,11502823.437593
1998-09-04,83.6726,89.5055,83.3022,89.5055,19011272.92075
1998-09-07,90.957,93.8689,87.0842,92.0702,11634786.696744
1998-09-08,92.4085,92.4085,87.6719,88.0326,7658939.1419118
1998-09-09,87.3184,89.8528,85.8499,88.8643,9041466.9398318
1998-09-10,88.3968,88.3968,85.8499,86.9471,6763517.0817681
1998-09-11,85.117,85.117,82.2095,83.6726,3837852.9408337
1998-09-14,84.0359,90.957,82.9406,90.957,5718790.0732335
1998-09-15,86.5756,90.957,86.5756,88.6773,2606006.8258125
1998-09-16,93.8689,96.0418,89.5055,90.2891,3063991.1476032
1998-09-17,89.5055,90.957,85.8499,89.3274,2769044.3078897
1998-09-18,87.3184,89.5055,85.117,87.3184,6305036.4168676
1998-09-21,83.8534,85.6727,81.4792,83.4909,2341902.8816938
1998-09-22,85.8499,86.5756,84.3922,85.4278,14466754.284753
1998-09-23,87.3184,91.8386,86.5756,89.5055,10694681.40429
1998-09-24,91.705,99.6662,91.705,94.8575,11079763.928148
1998-09-25,93.8689,96.0418,91.8742,94.3321,7226888.1861325
1998-09-28,94.5725,101.127,93.1477,100.574,6994701.7990476
1998-09-29,99.6662,100.77,97.4844,98.1346,13880820.120721
1998-09-30,96.3981,98.6778,93.1477,95.1246,5086754.393301
1998-10-01,91.705,94.7061,89.5055,91.331,10093796.307763
1998-10-02,90.957,90.957,87.1278,90.7878,12201052.422839
1998-10-05,86.5756,89.5055,85.8499,88.7663,3764318.9230576
1998-10-06,88.0326,94.3943,85.8499,93.6731,14921975.030994
1998-10-07,94.2341,98.9449,94.2341,96.7632,6407654.7933383
1998-10-08,93.1477,98.0276,93.1477,97.3954,11172348.762344
1998-10-09,97.4844,101.305,97.4844,99.6662,18496675.164844
1998-10-12,102.578,106.942,100.396,104.19,14030637.133498
1998-10-13,105.125,105.49,101.848,104.395,6489215.6449349
1998-10-14,103.317,103.665,98.9449,101.661,6160884.6778224
1998-10-15,100.396,102.151,99.6662,102.151,8464536.5745658
1998-10-16,104.395,106.22,103.317,105.357,7608041.5141962
1998-10-19,105.125,105.125,99.6662,103.21,5498163.3150446
