Data,Otwarcie,Najwyzszy,Najnizszy,Zamkniecie,Wolumen
2018-10-08,2696.77,2722.66,2684.18,2684.18,4935417.1176528
2018-10-09,2703.97,2729.49,2688.14,2727.32,7478310.8354426
2018-10-10,2724.45,2725.89,2615.89,2621.3,7126363.7851078
2018-10-11,2588.93,2646.8,2558.02,2609.06,11350161.579194
2018-10-12,2660.11,2691.38,2638.54,2641.77,6478715.334118
2018-10-15,2638.9,2691.74,2625.95,2686.35,4449788.0305749
2018-10-16,2669.45,2695.69,2650.4,2687.43,6300062.0993694
2018-10-17,2709.34,2758.6,2678.79,2727.68,7948538.65531
2018-10-18,2674.83,2737.03,2673.41,2683.83,5809855.2186882
2018-10-19,2693.18,2697.84,2642.13,2643.56,5400545.013858
2018-10-22,2678.44,2696.05,2655.43,2660.11,4858744.5681507
2018-10-23,2652.57,2656.5,2580.3,2608.71,5891597.3476206
2018-10-24,2641.41,2660.81,2586.4,2587.86,6057896.294581
2018-10-25,2561.25,2647.52,2552.27,2628.12,5703168.0384411
2018-10-26,2588.2,2634.57,2555.14,2634.57,5267726.2181943
2018-10-29,2645.72,2734.86,2630.63,2677.36,5710270.6814077
2018-10-30,2674.49,2705.4,2648.61,2665.5,5352184.6790568
2018-10-31,2707.19,2766.87,2693.18,2734.52,6773118.2109189
2018-11-01,2724.81,2790.23,2705.76,2771.9,5690524.9572735
2018-11-02,2834.8,2851.71,2753.93,2770.1,6694640.7027961
2018-11-05,2776.21,2845.59,2775.5,2821.16,6298992.7267836
2018-11-06,2832.66,2838.39,2776.21,2781.24,4330889.9128764
2018-11-07,2803.9,2870.4,2801.74,2825.82,5818420.6629022
2018-11-08,2840.56,2865.74,2836.6,2861.05,6492117.0210827
2018-11-09,2833.38,2838.39,2740.63,2767.58,6281306.2250063
2018-11-12,2876.52,2887.29,2793.11,2793.11,11257926.624147
2018-11-13,2813.96,2814.69,2730.93,2765.07,9814541.4997488
2018-11-14,2732,2736.68,2644.28,2667.29,11676996.161763
2018-11-15,2716.18,2740.63,2698.56,2732.36,7785598.5009133
2018-11-16,2783.06,2829.06,2764.71,2811.08,7315734.8118286
2018-11-19,2835.18,2843.43,2792.75,2795.99,4792635.9967557
2018-11-20,2778.02,2799.57,2712.96,2737.75,6111881.8221618
2018-11-21,2731.29,2774.78,2724.1,2767.96,5492184.5941489
2018-11-22,2753.57,2753.57,2700.01,2709,4076271.4631344
2018-11-23,2690.66,2694.26,2604.38,2618.41,7320374.3402484
2018-11-26,2624.15,2641.06,2571.69,2609.06,6118044.8402928
2018-11-27,2600.43,2609.78,2538.25,2555.14,6883444.6062865
2018-11-28,2572.39,2583.9,2551.19,2563.76,7561276.1508259
2018-11-29,2634.94,2639.26,2592.17,2601.89,7423673.4300527
2018-11-30,2605.82,2612.67,2558.73,2558.73,10449293.652188
2018-12-03,2707.55,2730.56,2656.88,2661.18,9864307.086392
2018-12-04,2658.67,2684.91,2630.99,2678.44,5219014.3088444
2018-12-05,2656.88,2656.88,2623.79,2624.15,3335627.3585943
2018-12-06,2585.34,2598.27,2508.4,2526.02,8763830.6166385
2018-12-07,2556.59,2624.88,2544.35,2577.07,5216581.5385296
2018-12-10,2549.74,2588.2,2524.22,2535.73,6557412.5763338
2018-12-11,2570.96,2638.54,2567.01,2618.76,7557671.4653486
2018-12-12,2626.67,2681.31,2608.71,2666.94,5544189.3758346
2018-12-13,2684.91,2714.05,2670.89,2684.91,6388358.5823888
2018-12-14,2632.07,2652.57,2616.61,2642.48,5964462.2191977
2018-12-17,2690.66,2711.51,2665.5,2705.04,6140110.3286369
2018-12-18,2679.15,2702.18,2661.54,2683.12,8297954.5781645
2018-12-19,2683.48,2758.6,2676.64,2748.89,11499392.418896
2018-12-20,2652.92,2721.94,2649.32,2693.54,9332556.8595555
2018-12-21,2695.32,2743.51,2687.07,2732,10230659.276049
2018-12-24,2677.36,2731.65,2677.36,2714.05,836352.95096195
2018-12-27,2734.15,2737.75,2650.04,2668.74,4203609.4627081
2018-12-28,2700.01,2727.32,2689.58,2705.04,2621090.8033559
2018-12-31,2727.68,2734.86,2681.68,2681.68,1925344.6521237
2019-01-02,2624.88,2662.26,2578.87,2653.27,6902262.2154661
2019-01-03,2631.35,2648.25,2602.24,2619.13,5046118.1073312
2019-01-04,2665.5,2739.55,2648.61,2727.32,6107489.2330084
2019-01-07,2758.24,2783.41,2734.86,2754.29,5605541.2272936
2019-01-08,2741.71,2804.62,2739.9,2776.21,5043091.0086126
2019-01-09,2812.17,2833.74,2789.88,2807.84,5864241.4994004
2019-01-10,2797.78,2806.41,2757.16,2791.31,4673929.3616239
2019-01-11,2803.9,2850.99,2774.78,2780.52,4230540.4916819
2019-01-14,2756.45,2793.47,2745.3,2775.85,3245515.4534259
2019-01-15,2812.17,2836.6,2785.2,2805.34,3906688.0146607
2019-01-16,2825.11,2834.8,2772.98,2788.79,3898268.0134892
2019-01-17,2786.28,2814.69,2761.48,2801.74,4276363.4208858
2019-01-18,2838.77,2852.78,2797.42,2821.87,7573172.1360774
2019-01-21,2803.9,2832.66,2803.9,2826.18,3490170.5315816
2019-01-22,2782.33,2799.57,2738.11,2764.71,5657275.003598
2019-01-23,2743.86,2754.64,2699.64,2704.32,5396215.2058739
2019-01-24,2703.26,2726.97,2696.05,2706.83,5460582.6461705
2019-01-25,2716.9,2798.5,2714.39,2788.07,5529574.9659474
2019-01-28,2861.41,2874.36,2806.41,2835.89,7521873.6425476
2019-01-29,2845.59,2933.3,2836.25,2931.51,9287369.0665155
2019-01-30,3019.57,3023.89,2962.06,2971.76,9169208.6275576
2019-01-31,2983.63,3026.05,2974.65,3010.58,7571490.6470898
2019-02-01,3026.77,3064.51,3015.64,3041.14,5393752.0913272
2019-02-04,2985.79,3067.75,2985.79,3067.75,8598678.4723728
2019-02-05,3116.27,3117,3082.49,3093.63,6530996.3529492
2019-02-06,3094.35,3123.82,3074.93,3090.4,5153569.1251395
2019-02-07,3115.21,3128.5,3067.75,3067.75,6868237.9607011
2019-02-08,3041.14,3093.99,3041.14,3066.32,6124366.904053
2019-02-11,3103.69,3116.64,3071.71,3082.12,4525935.3109596
2019-02-12,3108.38,3113.75,3068.84,3087.52,6426951.2135817
2019-02-13,3091.46,3147.92,3086.09,3130.66,6442294.931387
2019-02-14,3145.4,3161.94,3105.85,3125.63,4948835.5462627
2019-02-15,3102.97,3182.78,3099.03,3161.94,5616070.6757575
2019-02-18,3163.36,3170.57,3134.98,3140,4379050.3942882
2019-02-19,3131.37,3171.63,3122.39,3166.26,4376751.5571348
2019-02-20,3192.13,3210.1,3139.29,3198.6,5384575.5770642
2019-02-21,3177.75,3201.12,3130.66,3157.63,4383858.3855127
2019-02-22,3180.28,3219.46,3180.28,3210.1,5195569.7274789
2019-02-25,3220.88,3227.36,3156.17,3181.35,5439966.3564871
2019-02-26,3159.06,3171.28,3123.82,3153.3,5536473.5701134
2019-02-27,3199.32,3220.53,3153.3,3181.35,6772135.6856176
2019-02-28,3148.99,3148.99,3095.78,3117.36,8784517.0119611
2019-03-01,3138.21,3154.39,3127.78,3131.74,4331848.3720628
2019-03-04,3166.97,3190.69,3152.23,3160.14,3661534.872561
2019-03-05,3170.57,3199.69,3156.17,3193.2,3692522.6114319
2019-03-06,3189.26,3220.88,3188.18,3219.46,7778168.349513
2019-03-07,3221.77,3232.6,3180.35,3208.99,6554507.9008955
2019-03-08,3174.53,3190.81,3143.18,3190.02,6933178.802345
2019-03-11,3207.83,3239.18,3190.02,3213.65,3503095.0816587
2019-03-12,3227.96,3243.06,3196.61,3228.74,5176166.160718
2019-03-13,3207.83,3251.2,3205.12,3238.41,4704991.3915453
2019-03-14,3230.29,3245.4,3202.8,3227.96,3928204.1677724
2019-03-15,3238.8,3255.84,3214.02,3214.02,7959903.0933271
2019-03-18,3278.29,3312.74,3258.93,3303.85,4529439.5465658
2019-03-19,3312.74,3361.93,3309.65,3333.27,3737284.5388727
2019-03-20,3182.27,3282.94,3181.89,3255.07,5855026.270083
